"hgnc_symbol","ensembl_gene_id","description","external_gene_name","gene_biotype","chromosome_name","affy_hg_u133_plus_2"
"STXBP6","ENSG00000168952","syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]","STXBP6","protein_coding","14","220994_s_at"
"PLEKHO1","ENSG00000023902","pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]","PLEKHO1","protein_coding","1","218223_s_at"
"ZNF12","ENSG00000164631","zinc finger protein 12 [Source:HGNC Symbol;Acc:HGNC:12902]","ZNF12","protein_coding","7","226015_at"
NA,NA,NA,NA,NA,NA,NA
"DHTKD1","ENSG00000181192","dehydrogenase E1 and transketolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23537]","DHTKD1","protein_coding","10","227094_at"
"NRAS","ENSG00000213281","NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]","NRAS","protein_coding","1","202647_s_at"
"FGF10","ENSG00000070193","fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666]","FGF10","protein_coding","5","232712_at"
"ADIRF","ENSG00000148671","adipogenesis regulatory factor [Source:HGNC Symbol;Acc:HGNC:24043]","ADIRF","protein_coding","10","203571_s_at"
"DCAF16","ENSG00000163257","DDB1 and CUL4 associated factor 16 [Source:HGNC Symbol;Acc:HGNC:25987]","DCAF16","protein_coding","4","228106_at"
"CETN3","ENSG00000153140","centrin 3 [Source:HGNC Symbol;Acc:HGNC:1868]","CETN3","protein_coding","5","209662_at"
"TEX2","ENSG00000136478","testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]","TEX2","protein_coding","17","218099_at"
"PCK1","ENSG00000124253","phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]","PCK1","protein_coding","20","208383_s_at"
"ARF3","ENSG00000134287","ADP ribosylation factor 3 [Source:HGNC Symbol;Acc:HGNC:654]","ARF3","protein_coding","12","200734_s_at"
"UBE2K","ENSG00000078140","ubiquitin conjugating enzyme E2 K [Source:HGNC Symbol;Acc:HGNC:4914]","UBE2K","protein_coding","4","202347_s_at"
"TMEM161B","ENSG00000164180","transmembrane protein 161B [Source:HGNC Symbol;Acc:HGNC:28483]","TMEM161B","protein_coding","5",""
"PLXND1","ENSG00000004399","plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]","PLXND1","protein_coding","3","212235_at"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"PHKA2","ENSG00000044446","phosphorylase kinase regulatory subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8926]","PHKA2","protein_coding","X","209439_s_at"
NA,NA,NA,NA,NA,NA,NA
"LPCAT2","ENSG00000087253","lysophosphatidylcholine acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26032]","LPCAT2","protein_coding","16","227889_at"
"NFRKB","ENSG00000170322","nuclear factor related to kappaB binding protein [Source:HGNC Symbol;Acc:HGNC:7802]","NFRKB","protein_coding","11","206968_s_at"
"C6","ENSG00000039537","complement C6 [Source:HGNC Symbol;Acc:HGNC:1339]","C6","protein_coding","5","210168_at"
"ID2","ENSG00000115738","inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]","ID2","protein_coding","2","201565_s_at"
NA,NA,NA,NA,NA,NA,NA
"EEF1A1","ENSG00000156508","eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]","EEF1A1","protein_coding","6",""
"GPN3","ENSG00000111231","GPN-loop GTPase 3 [Source:HGNC Symbol;Acc:HGNC:30186]","GPN3","protein_coding","12","218461_at"
"DDHD2","ENSG00000085788","DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]","DDHD2","protein_coding","8",""
"GLIS1","ENSG00000174332","GLIS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:29525]","GLIS1","protein_coding","1","244128_x_at"
"ZNF622","ENSG00000173545","zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]","ZNF622","protein_coding","5","225152_at"
"SPATA18","ENSG00000163071","spermatogenesis associated 18 [Source:HGNC Symbol;Acc:HGNC:29579]","SPATA18","protein_coding","4","229331_at"
"ZNF180","ENSG00000167384","zinc finger protein 180 [Source:HGNC Symbol;Acc:HGNC:12970]","ZNF180","protein_coding","19","230065_at"
"ARHGDIB","ENSG00000111348","Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679]","ARHGDIB","protein_coding","12","201288_at"
"MRPL15","ENSG00000137547","mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]","MRPL15","protein_coding","8","218027_at"
"ADCY7","ENSG00000121281","adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]","ADCY7","protein_coding","16",""
"ATF5","ENSG00000169136","activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]","ATF5","protein_coding","19","204999_s_at"
"CCDC174","ENSG00000154781","coiled-coil domain containing 174 [Source:HGNC Symbol;Acc:HGNC:28033]","CCDC174","protein_coding","3","1558094_s_at"
"SLK","ENSG00000065613","STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088]","SLK","protein_coding","10","206874_s_at"
"NDUFA7","ENSG00000267855","NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]","NDUFA7","protein_coding","19","202785_at"
"MKNK2","ENSG00000099875","MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]","MKNK2","protein_coding","19","218205_s_at"
"IRAK2","ENSG00000134070","interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]","IRAK2","protein_coding","3","1553740_a_at"
"TMF1","ENSG00000144747","TATA element modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:11870]","TMF1","protein_coding","3","227685_at"
"MED10","ENSG00000133398","mediator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:28760]","MED10","protein_coding","5","223247_at"
"GCDH","ENSG00000105607","glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4189]","GCDH","protein_coding","19",""
"SF3A1","ENSG00000099995","splicing factor 3a subunit 1 [Source:HGNC Symbol;Acc:HGNC:10765]","SF3A1","protein_coding","22","216457_s_at"
NA,NA,NA,NA,NA,NA,NA
"SMNDC1","ENSG00000119953","survival motor neuron domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16900]","SMNDC1","protein_coding","10","200071_at"
"LPCAT1","ENSG00000275079","lysophosphatidylcholine acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25718]","LPCAT1","protein_coding","CHR_HSCHR5_3_CTG1",""
"SIL1","ENSG00000120725","SIL1 nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:24624]","SIL1","protein_coding","5","218436_at"
"GNAS","ENSG00000087460","GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]","GNAS","protein_coding","20","200981_x_at"
"RHBDD3","ENSG00000100263","rhomboid domain containing 3 [Source:HGNC Symbol;Acc:HGNC:1308]","RHBDD3","protein_coding","22","204402_at"
NA,NA,NA,NA,NA,NA,NA
"EPB41L3","ENSG00000082397","erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]","EPB41L3","protein_coding","18","211776_s_at"
"BRD7","ENSG00000166164","bromodomain containing 7 [Source:HGNC Symbol;Acc:HGNC:14310]","BRD7","protein_coding","16","238545_at"
"C2orf68","ENSG00000168887","chromosome 2 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:34353]","C2orf68","protein_coding","2","221878_at"
"OGT","ENSG00000147162","O-linked N-acetylglucosamine (GlcNAc) transferase [Source:HGNC Symbol;Acc:HGNC:8127]","OGT","protein_coding","X","212307_s_at"
"PENK","ENSG00000181195","proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]","PENK","protein_coding","8","237774_at"
"GTF3C4","ENSG00000125484","general transcription factor IIIC subunit 4 [Source:HGNC Symbol;Acc:HGNC:4667]","GTF3C4","protein_coding","9",""
"C2orf49","ENSG00000135974","chromosome 2 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28772]","C2orf49","protein_coding","2","226951_at"
"TST","ENSG00000128311","thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]","TST","protein_coding","22","209605_at"
"KLHL2","ENSG00000109466","kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353]","KLHL2","protein_coding","4","219157_at"
"CGRRF1","ENSG00000100532","cell growth regulator with ring finger domain 1 [Source:HGNC Symbol;Acc:HGNC:15528]","CGRRF1","protein_coding","14","204605_at"
"HNRNPD","ENSG00000138668","heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]","HNRNPD","protein_coding","4","200073_s_at"
"APMAP","ENSG00000101474","adipocyte plasma membrane associated protein [Source:HGNC Symbol;Acc:HGNC:13238]","APMAP","protein_coding","20","206656_s_at"
"SEC31A","ENSG00000138674","SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]","SEC31A","protein_coding","4","200945_s_at"
"CASQ2","ENSG00000118729","calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]","CASQ2","protein_coding","1","207317_s_at"
"NAA38","ENSG00000183011","N-alpha-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]","NAA38","protein_coding","17","225441_x_at"
"C1orf50","ENSG00000164008","chromosome 1 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:28795]","C1orf50","protein_coding","1","62212_at"
"CCDC126","ENSG00000169193","coiled-coil domain containing 126 [Source:HGNC Symbol;Acc:HGNC:22398]","CCDC126","protein_coding","7","228087_at"
"USP8","ENSG00000138592","ubiquitin specific peptidase 8 [Source:HGNC Symbol;Acc:HGNC:12631]","USP8","protein_coding","15",""
"RNF141","ENSG00000110315","ring finger protein 141 [Source:HGNC Symbol;Acc:HGNC:21159]","RNF141","protein_coding","11","219104_at"
NA,NA,NA,NA,NA,NA,NA
"CD163","ENSG00000177575","CD163 molecule [Source:HGNC Symbol;Acc:HGNC:1631]","CD163","protein_coding","12","203645_s_at"
"SETD9","ENSG00000155542","SET domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28508]","SETD9","protein_coding","5","238465_at"
"MS4A14","ENSG00000166928","membrane spanning 4-domains A14 [Source:HGNC Symbol;Acc:HGNC:30706]","MS4A14","protein_coding","11","229510_at"
"MRPS2","ENSG00000122140","mitochondrial ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:14495]","MRPS2","protein_coding","9","218001_at"
"PLAG1","ENSG00000181690","PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045]","PLAG1","protein_coding","8","205372_at"
"ZNF639","ENSG00000121864","zinc finger protein 639 [Source:HGNC Symbol;Acc:HGNC:30950]","ZNF639","protein_coding","3","215825_at"
"COMMD7","ENSG00000149600","COMM domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16223]","COMMD7","protein_coding","20","224815_at"
"ENOX2","ENSG00000165675","ecto-NOX disulfide-thiol exchanger 2 [Source:HGNC Symbol;Acc:HGNC:2259]","ENOX2","protein_coding","X","32042_at"
"OXNAD1","ENSG00000154814","oxidoreductase NAD binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25128]","OXNAD1","protein_coding","3","227686_at"
"KLF3","ENSG00000109787","Kruppel like factor 3 [Source:HGNC Symbol;Acc:HGNC:16516]","KLF3","protein_coding","4","225133_at"
"C15orf65","ENSG00000261652","chromosome 15 open reading frame 65 [Source:HGNC Symbol;Acc:HGNC:44654]","C15orf65","protein_coding","15","243309_at"
"XBP1","ENSG00000100219","X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]","XBP1","protein_coding","22",""
"ZNF22","ENSG00000165512","zinc finger protein 22 [Source:HGNC Symbol;Acc:HGNC:13012]","ZNF22","protein_coding","10","218005_at"
NA,NA,NA,NA,NA,NA,NA
"CENPBD1","ENSG00000177946","CENPB DNA-binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28272]","CENPBD1","transcribed_unitary_pseudogene","16","223728_at"
"TERF1","ENSG00000147601","telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]","TERF1","protein_coding","8",""
"INTS2","ENSG00000108506","integrator complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:29241]","INTS2","protein_coding","17","224308_s_at"
"GPLD1","ENSG00000112293","glycosylphosphatidylinositol specific phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:4459]","GPLD1","protein_coding","6",""
"RORB","ENSG00000198963","RAR related orphan receptor B [Source:HGNC Symbol;Acc:HGNC:10259]","RORB","protein_coding","9","206443_at"
"RBFOX2","ENSG00000277564","RNA binding fox-1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:9906]","RBFOX2","protein_coding","CHR_HSCHR22_1_CTG4","212104_s_at"
"DOK2","ENSG00000147443","docking protein 2 [Source:HGNC Symbol;Acc:HGNC:2991]","DOK2","protein_coding","8","214054_at"
"LNX2","ENSG00000139517","ligand of numb-protein X 2 [Source:HGNC Symbol;Acc:HGNC:20421]","LNX2","protein_coding","13","227569_at"
"SOWAHC","ENSG00000198142","sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:HGNC:26149]","SOWAHC","protein_coding","2","227034_at"
"SLC4A4","ENSG00000080493","solute carrier family 4 member 4 [Source:HGNC Symbol;Acc:HGNC:11030]","SLC4A4","protein_coding","4","210739_x_at"
"SLC2A3","ENSG00000059804","solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]","SLC2A3","protein_coding","12","202499_s_at"
"RPRD2","ENSG00000163125","regulation of nuclear pre-mRNA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29039]","RPRD2","protein_coding","1","212553_at"
NA,NA,NA,NA,NA,NA,NA
"TMEM170B","ENSG00000205269","transmembrane protein 170B [Source:HGNC Symbol;Acc:HGNC:34244]","TMEM170B","protein_coding","6","235798_at"
"AAR2","ENSG00000131043","AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]","AAR2","protein_coding","20","218089_at"
"ZC3H15","ENSG00000065548","zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]","ZC3H15","protein_coding","2","201595_s_at"
"FAM76B","ENSG00000077458","family with sequence similarity 76 member B [Source:HGNC Symbol;Acc:HGNC:28492]","FAM76B","protein_coding","11","1553750_a_at"
"CCDC138","ENSG00000163006","coiled-coil domain containing 138 [Source:HGNC Symbol;Acc:HGNC:26531]","CCDC138","protein_coding","2","235644_at"
"ZNRF2","ENSG00000180233","zinc and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:22316]","ZNRF2","protein_coding","7","226261_at"
"SPECC1","ENSG00000128487","sperm antigen with calponin homology and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:30615]","SPECC1","protein_coding","17","223498_at"
"UPP1","ENSG00000183696","uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]","UPP1","protein_coding","7",""
"PHF2","ENSG00000197724","PHD finger protein 2 [Source:HGNC Symbol;Acc:HGNC:8920]","PHF2","protein_coding","9","212726_at"
"CDC25B","ENSG00000101224","cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]","CDC25B","protein_coding","20","201853_s_at"
"RNF34","ENSG00000170633","ring finger protein 34 [Source:HGNC Symbol;Acc:HGNC:17297]","RNF34","protein_coding","12","219035_s_at"
"SFRP4","ENSG00000106483","secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]","SFRP4","protein_coding","7","204052_s_at"
"PLCXD1","ENSG00000182378","phosphatidylinositol specific phospholipase C X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]","PLCXD1","protein_coding","X","222795_s_at"
"TINF2","ENSG00000284915","TERF1 interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]","TINF2","protein_coding","CHR_HG1_PATCH","223776_x_at"
"VPS54","ENSG00000143952","VPS54 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:18652]","VPS54","protein_coding","2","218423_x_at"
"CRYZ","ENSG00000116791","crystallin zeta [Source:HGNC Symbol;Acc:HGNC:2419]","CRYZ","protein_coding","1","202950_at"
"TULP3","ENSG00000078246","TUB like protein 3 [Source:HGNC Symbol;Acc:HGNC:12425]","TULP3","protein_coding","12",""
"PER3","ENSG00000049246","period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]","PER3","protein_coding","1","1555131_a_at"
"SIAE","ENSG00000110013","sialic acid acetylesterase [Source:HGNC Symbol;Acc:HGNC:18187]","SIAE","protein_coding","11","223744_s_at"
"SLC38A9","ENSG00000177058","solute carrier family 38 member 9 [Source:HGNC Symbol;Acc:HGNC:26907]","SLC38A9","protein_coding","5","243709_at"
"GOLGA3","ENSG00000090615","golgin A3 [Source:HGNC Symbol;Acc:HGNC:4426]","GOLGA3","protein_coding","12","202106_at"
"SUPT16H","ENSG00000092201","SPT16 homolog, facilitates chromatin remodeling subunit [Source:HGNC Symbol;Acc:HGNC:11465]","SUPT16H","protein_coding","14","233827_s_at"
"RAP2A","ENSG00000125249","RAP2A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9861]","RAP2A","protein_coding","13","1556809_a_at"
"PRRC1","ENSG00000164244","proline rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28164]","PRRC1","protein_coding","5",""
"PXK","ENSG00000168297","PX domain containing serine/threonine kinase like [Source:HGNC Symbol;Acc:HGNC:23326]","PXK","protein_coding","3","1552275_s_at"
"CABIN1","ENSG00000281670","calcineurin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24187]","CABIN1","lncRNA","CHR_HSCHR22_1_CTG7",""
NA,NA,NA,NA,NA,NA,NA
"MBTD1","ENSG00000011258","mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866]","MBTD1","protein_coding","17","226797_at"
"GBE1","ENSG00000114480","1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]","GBE1","protein_coding","3","203282_at"
"ZNF565","ENSG00000196357","zinc finger protein 565 [Source:HGNC Symbol;Acc:HGNC:26726]","ZNF565","protein_coding","19","228305_at"
"METTL1","ENSG00000037897","methyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:7030]","METTL1","protein_coding","12","204027_s_at"
"PDSS2","ENSG00000164494","decaprenyl diphosphate synthase subunit 2 [Source:HGNC Symbol;Acc:HGNC:23041]","PDSS2","protein_coding","6","219307_at"
"TARS2","ENSG00000143374","threonyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:30740]","TARS2","protein_coding","1","221189_s_at"
NA,NA,NA,NA,NA,NA,NA
"TRIM6","ENSG00000121236","tripartite motif containing 6 [Source:HGNC Symbol;Acc:HGNC:16277]","TRIM6","protein_coding","11","223599_at"
"CRTAP","ENSG00000170275","cartilage associated protein [Source:HGNC Symbol;Acc:HGNC:2379]","CRTAP","protein_coding","3","227138_at"
"DCAF10","ENSG00000122741","DDB1 and CUL4 associated factor 10 [Source:HGNC Symbol;Acc:HGNC:23686]","DCAF10","protein_coding","9","226511_at"
"RNF38","ENSG00000137075","ring finger protein 38 [Source:HGNC Symbol;Acc:HGNC:18052]","RNF38","protein_coding","9","218528_s_at"
"BLOC1S2","ENSG00000196072","biogenesis of lysosomal organelles complex 1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:20984]","BLOC1S2","protein_coding","10","225049_at"
"CELF2","ENSG00000048740","CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]","CELF2","protein_coding","10","202157_s_at"
"AGPAT3","ENSG00000160216","1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]","AGPAT3","protein_coding","21","219723_x_at"
"ZC3H7A","ENSG00000122299","zinc finger CCCH-type containing 7A [Source:HGNC Symbol;Acc:HGNC:30959]","ZC3H7A","protein_coding","16","218348_s_at"
"ABCC9","ENSG00000069431","ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]","ABCC9","protein_coding","12","208561_at"
"C11orf49","ENSG00000149179","chromosome 11 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28720]","C11orf49","protein_coding","11",""
"ADAMTS2","ENSG00000283802","ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]","ADAMTS2","protein_coding","CHR_HG30_PATCH","214535_s_at"
"KIAA1958","ENSG00000165185","KIAA1958 [Source:HGNC Symbol;Acc:HGNC:23427]","KIAA1958","protein_coding","9","230166_at"
"C12orf45","ENSG00000151131","chromosome 12 open reading frame 45 [Source:HGNC Symbol;Acc:HGNC:28628]","C12orf45","protein_coding","12","226349_at"
"GLCE","ENSG00000138604","glucuronic acid epimerase [Source:HGNC Symbol;Acc:HGNC:17855]","GLCE","protein_coding","15",""
"SLC30A9","ENSG00000014824","solute carrier family 30 member 9 [Source:HGNC Symbol;Acc:HGNC:1329]","SLC30A9","protein_coding","4","202614_at"
"IGDCC4","ENSG00000103742","immunoglobulin superfamily DCC subclass member 4 [Source:HGNC Symbol;Acc:HGNC:13770]","IGDCC4","protein_coding","15","227870_at"
"EIF4G2","ENSG00000110321","eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]","EIF4G2","protein_coding","11","200004_at"
"GALNT12","ENSG00000119514","polypeptide N-acetylgalactosaminyltransferase 12 [Source:HGNC Symbol;Acc:HGNC:19877]","GALNT12","protein_coding","9","218885_s_at"
"MAPK1","ENSG00000100030","mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]","MAPK1","protein_coding","22","1552264_a_at"
"THUMPD2","ENSG00000138050","THUMP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14890]","THUMPD2","protein_coding","2","219248_at"
"ING5","ENSG00000168395","inhibitor of growth family member 5 [Source:HGNC Symbol;Acc:HGNC:19421]","ING5","protein_coding","2","223871_x_at"
"RNF10","ENSG00000022840","ring finger protein 10 [Source:HGNC Symbol;Acc:HGNC:10055]","RNF10","protein_coding","12",""
"GNG7","ENSG00000176533","G protein subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:4410]","GNG7","protein_coding","19","206896_s_at"
"IPO5","ENSG00000065150","importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]","IPO5","protein_coding","13",""
"GNA12","ENSG00000146535","G protein subunit alpha 12 [Source:HGNC Symbol;Acc:HGNC:4380]","GNA12","protein_coding","7","224681_at"
"TRAF3IP1","ENSG00000204104","TRAF3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17861]","TRAF3IP1","protein_coding","2","238494_at"
"ZBTB47","ENSG00000114853","zinc finger and BTB domain containing 47 [Source:HGNC Symbol;Acc:HGNC:26955]","ZBTB47","protein_coding","3","226500_at"
"ETV6","ENSG00000139083","ETS variant transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:3495]","ETV6","protein_coding","12","205585_at"
"TATDN3","ENSG00000203705","TatD DNase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27010]","TATDN3","protein_coding","1","235069_at"
"VLDLR","ENSG00000147852","very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]","VLDLR","protein_coding","9",""
"GCLC","ENSG00000001084","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]","GCLC","protein_coding","6","202923_s_at"
"OSTM1","ENSG00000081087","osteoclastogenesis associated transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:21652]","OSTM1","protein_coding","6","218196_at"
"FAM8A1","ENSG00000137414","family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372]","FAM8A1","protein_coding","6","203420_at"
"MZT2B","ENSG00000152082","mitotic spindle organizing protein 2B [Source:HGNC Symbol;Acc:HGNC:25886]","MZT2B","protein_coding","2","212995_x_at"
"EHBP1","ENSG00000115504","EH domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29144]","EHBP1","protein_coding","2","212650_at"
"SNX2","ENSG00000205302","sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]","SNX2","protein_coding","5","232049_at"
"GPR183","ENSG00000169508","G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]","GPR183","protein_coding","13","205419_at"
"PPWD1","ENSG00000113593","peptidylprolyl isomerase domain and WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28954]","PPWD1","protein_coding","5",""
"SLC46A3","ENSG00000139508","solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501]","SLC46A3","protein_coding","13","214719_at"
"CUEDC1","ENSG00000180891","CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]","CUEDC1","protein_coding","17","227667_at"
"PDLIM5","ENSG00000163110","PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]","PDLIM5","protein_coding","4",""
"CYBB","ENSG00000165168","cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]","CYBB","protein_coding","X","203923_s_at"
"TTC17","ENSG00000052841","tetratricopeptide repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:25596]","TTC17","protein_coding","11","218972_at"
"ARHGAP19","ENSG00000213390","Rho GTPase activating protein 19 [Source:HGNC Symbol;Acc:HGNC:23724]","ARHGAP19","protein_coding","10","212738_at"
"REV3L","ENSG00000009413","REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]","REV3L","protein_coding","6","208070_s_at"
NA,NA,NA,NA,NA,NA,NA
"RSAD1","ENSG00000136444","radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25634]","RSAD1","protein_coding","17","218307_at"
"SSRP1","ENSG00000149136","structure specific recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:11327]","SSRP1","protein_coding","11","200957_s_at"
"C9orf16","ENSG00000171159","chromosome 9 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:17823]","C9orf16","protein_coding","9","41047_at"
"PCDHB14","ENSG00000120327","protocadherin beta 14 [Source:HGNC Symbol;Acc:HGNC:8685]","PCDHB14","protein_coding","5","231726_at"
"ZMYM5","ENSG00000132950","zinc finger MYM-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13029]","ZMYM5","protein_coding","13","215948_x_at"
"RNF6","ENSG00000127870","ring finger protein 6 [Source:HGNC Symbol;Acc:HGNC:10069]","RNF6","protein_coding","13","210932_s_at"
NA,NA,NA,NA,NA,NA,NA
"YPEL1","ENSG00000100027","yippee like 1 [Source:HGNC Symbol;Acc:HGNC:12845]","YPEL1","protein_coding","22","228296_at"
"MPZ","ENSG00000158887","myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]","MPZ","protein_coding","1","210280_at"
"ELMO2","ENSG00000062598","engulfment and cell motility 2 [Source:HGNC Symbol;Acc:HGNC:17233]","ELMO2","protein_coding","20","55692_at"
"MYSM1","ENSG00000162601","Myb like, SWIRM and MPN domains 1 [Source:HGNC Symbol;Acc:HGNC:29401]","MYSM1","protein_coding","1",""
"NFIX","ENSG00000008441","nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]","NFIX","protein_coding","19","228278_at"
"SESTD1","ENSG00000187231","SEC14 and spectrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18379]","SESTD1","protein_coding","2","228088_at"
